ФИО,Тип,Возраст,Пол,Знак зодиака,Партия,Образование,Работа,Должность,Судимость,Задекларированный доход,Сумма на банковских счетах
"Данчикова Галина Иннокентьевна",mnogo_mandate,62,Женский,Лев,Единая Россия,"Всесоюзный юридический заочный институт, 1984","Правительство Республики Саха (Якутия)","Председатель Правительства Республики Саха (Якутия)","",5823938.62,383101.68
"Кувшинова Наталья Сергеевна",mnogo_mandate,30,Женский,Близнец,Единая Россия,"федеральное государственное бюджетное образовательное учреждение высшего профессионального образования 'Алтайский государственный университет', 2008","ООО 'СтройПрактик'","заместитель директора по правовым вопросам","",192437.75,289985.07
"Пушкарев Владимир Александрович",mnogo_mandate,43,Мужской,Рыбы,Единая Россия,"Государственное образовательное учреждение высшего профессионального образования «Российский государственный гуманитарный университет», 2010","Некоммерческое партнерство «Российский Центр освоения Арктики»","директор","",3301318.32,71746.75
"Ганиев Фарит Глюсович",mnogo_mandate,52,Мужской,Козерог,Единая Россия,"Башкирский государственный университет имени 40-летия Октября, 1991","Администрация Главы Республики Башкортостан","помощник Главы Республики Башкортостан","",2988505.43,40909.58
"Зиннуров Ирек Хайдарович",mnogo_mandate,47,Мужской,Козерог,Единая Россия,"Федеральное государственное автономное образовательное учреждение высшего профессионального образования 'Казанский (Приволжский) федеральный университет', 2012","ПАО 'Казаньоргсинтез'","старший тренер по подготовке резерва ватерпольного клуба 'Синтез'","",3780461.28,2518241.32
"Терентьев Михаил Борисович",mnogo_mandate,46,Мужской,Телец,Единая Россия,"Государственное образовательное учреждение 'Дипломатическая академия Министерства иностранных дел Российской Федерации', 2009Красноярский государственный университет, 1993","Государственная Дума Федерального Собрания Российской Федерации","депутат, заместитель председателя Комитета Государственной Думы по труду, социальной политике и делам ветеранов","",5618913.17,281759.21
"Германова Ольга Михайловна",mnogo_mandate,55,Женский,Весы,Единая Россия,"Курский государственный педагогический институт, 1987","Курское городское Собрание","депутат, Глава города Курска","",2530622.39,62247.29
"Богодухов Владимир Иванович",mnogo_mandate,55,Мужской,Водолей,Единая Россия,"Челябинское высшее военное авиационное Краснознаменное училище штурманов им. 50-летия ВЛКСМ, 1982","Областное бюджетное учреждение 'Центр патриотического воспитания населения Липецкой области'","директор","",1651471.22,277165.86
"Гетта Антон Александрович",mnogo_mandate,36,Мужской,Телец,Единая Россия,"ГОУ ВПО Ростовский государственный экономический университет 'РИНХ', 2002","Исполком Общероссийского общественного движения 'НАРОДНЫЙ ФРОНТ 'ЗА РОССИЮ'","советник Руководителя Исполкома","",3871039.31,209547.99
"Сайтиев Бувайса Хамидович",mnogo_mandate,41,Мужской,Рыбы,Единая Россия,"государственное образовательное учреждение высшего профессионального образования 'Красноярский государственный педагогический университет им. В.П. Астафьева', 2010","Администрация Главы и Правительства Республики Дагестан","советник Главы Республики Дагестан","",2209104.58,334756.13
"Догаев Ахмед Шамханович",mnogo_mandate,51,Мужской,Лев,Единая Россия,"Федеральное государственное бюджетное образовательное учреждение высшего образования 'Чеченский государственный педагогический университет', 2016","Министерство Чеченской Республики по национальной политике, внешним связям, печати и информации","руководитель представительства Главы Чеченской Республики в Южном федеральном округе","",552726,95739
"Газгиреев Юшаа Орснакиевич",mnogo_mandate,58,Мужской,Овен,Единая Россия,"Грозненский ордена Трудового Красного знамени нефтяной институт, 1984","ООО 'Экосторойсервис'","генеральный директор","",2639412.18,98679.81
"Макиев Зураб Гайозович",mnogo_mandate,40,Мужской,Весы,Единая Россия,"Северо-Осетинский государственный университет имени К.Л. Хетагурова, 1998","Государственная Дума Федерального Собрания Российской Федерации","депутат, член Комитета Государственной Думы по промышленности","",4639989.79,166282.7
